framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,gemm_type,mla_dtype,kv_cache_dtype,architecture,latency
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,16384,64,float16,float16,float16,DeepseekV32ForCausalLM,93.121064
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,32768,64,float16,float16,float16,DeepseekV32ForCausalLM,210.609180
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1.297841
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,16,64,float16,float16,float16,DeepseekV32ForCausalLM,1.319176
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,32,64,float16,float16,float16,DeepseekV32ForCausalLM,1.335872
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,64,64,float16,float16,float16,DeepseekV32ForCausalLM,1.334118
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,128,64,float16,float16,float16,DeepseekV32ForCausalLM,1.489782
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,256,64,float16,float16,float16,DeepseekV32ForCausalLM,1.675916
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,512,64,float16,float16,float16,DeepseekV32ForCausalLM,3.028617
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,1024,64,float16,float16,float16,DeepseekV32ForCausalLM,6.608259
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,1536,64,float16,float16,float16,DeepseekV32ForCausalLM,12.259866
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,2048,64,float16,float16,float16,DeepseekV32ForCausalLM,19.512698
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,3072,64,float16,float16,float16,DeepseekV32ForCausalLM,32.079270
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,4096,64,float16,float16,float16,DeepseekV32ForCausalLM,41.169707
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,6144,64,float16,float16,float16,DeepseekV32ForCausalLM,64.649956
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,8192,64,float16,float16,float16,DeepseekV32ForCausalLM,87.071162
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,10240,64,float16,float16,float16,DeepseekV32ForCausalLM,114.140049
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,12288,64,float16,float16,float16,DeepseekV32ForCausalLM,139.689873
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,16384,64,float16,float16,float16,DeepseekV32ForCausalLM,191.461543
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,2,32768,64,float16,float16,float16,DeepseekV32ForCausalLM,436.274297
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1.663231
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,16,64,float16,float16,float16,DeepseekV32ForCausalLM,1.303149
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,32,64,float16,float16,float16,DeepseekV32ForCausalLM,1.385040
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,64,64,float16,float16,float16,DeepseekV32ForCausalLM,1.441836
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,128,64,float16,float16,float16,DeepseekV32ForCausalLM,1.608746
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,256,64,float16,float16,float16,DeepseekV32ForCausalLM,2.691281
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,512,64,float16,float16,float16,DeepseekV32ForCausalLM,5.232811
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,1024,64,float16,float16,float16,DeepseekV32ForCausalLM,13.896345
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,1536,64,float16,float16,float16,DeepseekV32ForCausalLM,26.210264
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,2048,64,float16,float16,float16,DeepseekV32ForCausalLM,38.512944
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,3072,64,float16,float16,float16,DeepseekV32ForCausalLM,62.596802
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,4096,64,float16,float16,float16,DeepseekV32ForCausalLM,84.432354
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,6144,64,float16,float16,float16,DeepseekV32ForCausalLM,131.970674
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,8192,64,float16,float16,float16,DeepseekV32ForCausalLM,178.445840
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,10240,64,float16,float16,float16,DeepseekV32ForCausalLM,234.019551
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,12288,64,float16,float16,float16,DeepseekV32ForCausalLM,280.163281
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,16384,64,float16,float16,float16,DeepseekV32ForCausalLM,385.471992
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,4,32768,64,float16,float16,float16,DeepseekV32ForCausalLM,855.653281
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1.255930
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,16,64,float16,float16,float16,DeepseekV32ForCausalLM,1.244322
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,32,64,float16,float16,float16,DeepseekV32ForCausalLM,1.257726
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,64,64,float16,float16,float16,DeepseekV32ForCausalLM,1.600193
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,128,64,float16,float16,float16,DeepseekV32ForCausalLM,2.605435
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,256,64,float16,float16,float16,DeepseekV32ForCausalLM,4.600294
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,512,64,float16,float16,float16,DeepseekV32ForCausalLM,10.924393
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,1024,64,float16,float16,float16,DeepseekV32ForCausalLM,26.710989
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,1536,64,float16,float16,float16,DeepseekV32ForCausalLM,50.690107
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,2048,64,float16,float16,float16,DeepseekV32ForCausalLM,76.227954
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,3072,64,float16,float16,float16,DeepseekV32ForCausalLM,128.786992
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,4096,64,float16,float16,float16,DeepseekV32ForCausalLM,170.850547
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,6144,64,float16,float16,float16,DeepseekV32ForCausalLM,270.787891
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,8192,64,float16,float16,float16,DeepseekV32ForCausalLM,361.424414
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,10240,64,float16,float16,float16,DeepseekV32ForCausalLM,472.251055
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,12288,64,float16,float16,float16,DeepseekV32ForCausalLM,581.586992
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,8,16384,64,float16,float16,float16,DeepseekV32ForCausalLM,764.118281
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,16,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1.403612
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,16,16,64,float16,float16,float16,DeepseekV32ForCausalLM,1.251851
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,16,32,64,float16,float16,float16,DeepseekV32ForCausalLM,1.583859
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,16,64,64,float16,float16,float16,DeepseekV32ForCausalLM,2.586917
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,16,128,64,float16,float16,float16,DeepseekV32ForCausalLM,4.361218
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,16,256,64,float16,float16,float16,DeepseekV32ForCausalLM,9.593146
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,16,512,64,float16,float16,float16,DeepseekV32ForCausalLM,20.477128
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,16,1024,64,float16,float16,float16,DeepseekV32ForCausalLM,52.376484
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,16,1536,64,float16,float16,float16,DeepseekV32ForCausalLM,95.801357
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,16,2048,64,float16,float16,float16,DeepseekV32ForCausalLM,140.270400
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,16,3072,64,float16,float16,float16,DeepseekV32ForCausalLM,248.635195
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,16,4096,64,float16,float16,float16,DeepseekV32ForCausalLM,347.317266
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,16,6144,64,float16,float16,float16,DeepseekV32ForCausalLM,552.898242
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,16,8192,64,float16,float16,float16,DeepseekV32ForCausalLM,714.599141
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,32,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1.255279
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,32,16,64,float16,float16,float16,DeepseekV32ForCausalLM,1.581453
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,32,32,64,float16,float16,float16,DeepseekV32ForCausalLM,2.545495
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,32,64,64,float16,float16,float16,DeepseekV32ForCausalLM,4.257393
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,32,128,64,float16,float16,float16,DeepseekV32ForCausalLM,9.213475
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,32,256,64,float16,float16,float16,DeepseekV32ForCausalLM,18.554707
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,32,512,64,float16,float16,float16,DeepseekV32ForCausalLM,42.677422
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,32,1024,64,float16,float16,float16,DeepseekV32ForCausalLM,104.763311
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,32,1536,64,float16,float16,float16,DeepseekV32ForCausalLM,185.601699
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,32,2048,64,float16,float16,float16,DeepseekV32ForCausalLM,276.733398
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,32,3072,64,float16,float16,float16,DeepseekV32ForCausalLM,484.825586
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,32,4096,64,float16,float16,float16,DeepseekV32ForCausalLM,650.955156
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1.207347
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,64,16,64,float16,float16,float16,DeepseekV32ForCausalLM,2.559003
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,64,32,64,float16,float16,float16,DeepseekV32ForCausalLM,4.327791
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,64,64,64,float16,float16,float16,DeepseekV32ForCausalLM,9.167341
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,64,128,64,float16,float16,float16,DeepseekV32ForCausalLM,17.945637
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,64,256,64,float16,float16,float16,DeepseekV32ForCausalLM,39.084868
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,64,512,64,float16,float16,float16,DeepseekV32ForCausalLM,91.890830
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,64,1024,64,float16,float16,float16,DeepseekV32ForCausalLM,222.802441
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,64,1536,64,float16,float16,float16,DeepseekV32ForCausalLM,385.172461
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,64,2048,64,float16,float16,float16,DeepseekV32ForCausalLM,536.396133
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1.406889
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,128,16,64,float16,float16,float16,DeepseekV32ForCausalLM,4.321602
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,128,32,64,float16,float16,float16,DeepseekV32ForCausalLM,9.172489
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,128,64,64,float16,float16,float16,DeepseekV32ForCausalLM,17.966549
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,128,128,64,float16,float16,float16,DeepseekV32ForCausalLM,38.270061
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,128,256,64,float16,float16,float16,DeepseekV32ForCausalLM,85.286602
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,128,512,64,float16,float16,float16,DeepseekV32ForCausalLM,185.897559
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,128,1024,64,float16,float16,float16,DeepseekV32ForCausalLM,423.740078
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,256,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1.235734
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,256,16,64,float16,float16,float16,DeepseekV32ForCausalLM,9.232809
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,256,32,64,float16,float16,float16,DeepseekV32ForCausalLM,17.983446
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,256,64,64,float16,float16,float16,DeepseekV32ForCausalLM,37.840530
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,256,128,64,float16,float16,float16,DeepseekV32ForCausalLM,84.171787
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,256,256,64,float16,float16,float16,DeepseekV32ForCausalLM,173.683145
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,256,512,64,float16,float16,float16,DeepseekV32ForCausalLM,365.986602
